truck,hours,swipes,swipes/hour
8E8 Thai Street Food,817,159928,195.750306
Salpicón,603,109679,181.8888889
Aloha Fridays,541.5,93387,172.4598338
Dina's Dumpling,426.5,72623,170.2766706
Perro 1-10 Tacos,920.5,141064,153.2471483
Creamy Boys,526,80032,152.1520913
Yuna's Bob,369.5,54997,148.8416779
Paradise Cookies & Ice Cream,139,20486,147.381295
Smile Hotdog,627,91440,145.8373206
Dulce Europa Shaved Ice,230,31604,137.4086957
BittieBitez Mini-Donuts,450.5,61013,135.4339623
DD's Chick & Cat Shack,178,23650,132.8651685
Sugo Italiano,191,23807,124.6439791
Chicken King,21.5,2539,118.0930233
Big Softee,22,2505,113.8636364
Rice Balls of Fire,109.5,12198,111.3972603
Cerda Vega Tacos,610,65050,106.6393443
Kalamaki Greek Street Food,570.5,59409,104.1349693
Sweets on Wheels,118,10786,91.40677966
Go Fusion N Grill,190,17202,90.53684211
Pinch of Flavor,900,79432,88.25777778
Bison Burger,247,21480,86.96356275
StopBye Café,623,53300,85.55377207
The Bollywood Kitchen,11,922,83.81818182
Wafl,696,57724,82.93678161
Heritage Kitchen,252,20699,82.13888889
Flaming Grain,274,22126,80.75182482
Habibi Shack,433.5,34416,79.39100346
The Taco Cartel,693.5,53978,77.83417448
Fat Boys,103,7653,74.30097087
Mikhuna,67,4875,72.76119403
Tokyo Style,312.5,22208,71.0656
Thai Mex Cocina,101,6909,68.40594059
Poppa Joe's Kitchen,38,2589,68.13157895
Uncle Al's BBQ,456.5,30372,66.53231106
Bollywood Kitchen,224,14606,65.20535714
Venice Gelato,57,3643,63.9122807
El Gallo Yucateco,96,6063,63.15625
Poutine Brothers,384.5,24253,63.07672302
Flamin Hot Chicken,702,42913,61.12962963
Austyn's Burgers,259,14849,57.33204633
Yalla,296,16722,56.49324324
Philly Jay's Steaks,225,12418,55.19111111
Original Herbivore,367,19663,53.57765668
Café Vietnam,110,5615,51.04545455
Don Pollón,61.5,2988,48.58536585
Pacifico Charbroiled,248.5,11645,46.861167
Vchos Pupusería Moderna,76,3464,45.57894737
Savage Tacos,171,7773,45.45614035
Baby's Burgers,165,5763,34.92727273
Bunz Gourmet Burgers,30.5,904,29.63934426
Belly's Sliders & Wings,144.5,3795,26.26297578
Deli Doctor,48.5,1206,24.86597938
Kogi,371.5,7092,19.09017497
